publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Stellar explosions: hydrodynamics and nucleosynthesis"	"9781439853061"	"9781439853085"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781439853085&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781439853085.jpg"	
"Respiratory care exam review: review for the entry level and advanced exams"	"9781437706741"	"9781437716955"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781437716955&uid=none"						"Saunders"											"http://www.askewsandholts.com/EBookImages/9781437716955.jpg"	
"Essential Sqlalchemy"	"9781491916469"	"9781491916568"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781491916568&uid=none"						"O'Reilly"											"http://www.askewsandholts.com/EBookImages/9781491916568.jpg"	
"History of antisemitism in Canada"	""	"9781771121675"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781771121675&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781771121675.jpg"	
"Soundscape and the built environment"	"9781482226317"	"9781482226324"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781482226324&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781482226324.jpg"	
"&quot;The Most Dangerous Moment of the War&quot;"	"9781612003351"	"9781612003351"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781612003351&uid=none"						"Casemate"											"http://www.askewsandholts.com/EBookImages/9781612003351.jpg"	
"A companion to Ayn Rand"	"9781405186841"	"9781118324929"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781118324929&uid=none"						"Wiley-Blackwell"											"http://www.askewsandholts.com/EBookImages/9781118324929.jpg"	
"Applied paramedic law and ethics: Australia and New Zealand"	"9780729541343"	"9780729581349"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780729581349&uid=none"						"Churchill Livingstone"											"http://www.askewsandholts.com/EBookImages/9780729581349.jpg"	
"Place of Work in African Childhoods"	"9782869785977"	"9782869786523"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9782869786523&uid=none"						"CODESRIA"											"http://www.askewsandholts.com/EBookImages/9782869786523.jpg"	
"Teacher Education Systems in Africa in the Digital Era"	"9782869786080"	"9782869786561"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9782869786561&uid=none"						"CODESRIA"											"http://www.askewsandholts.com/EBookImages/9782869786561.jpg"	
