publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Information modeling for interoperable dimensional metrology"	"9781447121664"	"9781447121671"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781447121671&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781447121671.jpg"	
"Combinatorial set theory: with a gentle introduction to forcing"	"9781447121725"	"9781447121732"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781447121732&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781447121732.jpg"	
"External fixation in orthopedic traumatology"	"9781447121992"	"9781447121978"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781447121978&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781447121978.jpg"	
"Wind energy conversion system"	"9781447122005"	"9781447122012"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781447122012&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781447122012.jpg"	
"The house that Jack built: the collected lectures of Jack Spicer"	"9780819563392"	"9780819569622"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780819569622&uid=none"						"University Press of New England"											"http://www.askewsandholts.com/EBookImages/9780819569622.jpg"	
"52 small changes for the mind: improve memory, minimize stress, increase productivity, boost happiness"	"9781452131672"	"9781452141480"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781452141480&uid=none"						"Chronicle Books"											"http://www.askewsandholts.com/EBookImages/9781452141480.jpg"	
"Ninja Baby"	"9781452135427"	"9781452141626"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781452141626&uid=none"						"Chronicle Books"											"http://www.askewsandholts.com/EBookImages/9781452141626.jpg"	
"Middleton and Rowley: The Changeling"	"9780230246072"	"9781137265487"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137265487&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137265487.jpg"	
"An American dilemma: international law, capital punishment, and federalism"	"9781137270368"	"9781137270375"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137270375&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137270375.jpg"	
"EU Democracy Promotion and the Arab Spring: International Cooperation and Authoritarianism"	"9781137298515"	"9781137298522"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137298522&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137298522.jpg"	
"Cosmopolitan Military: Armed Forces and Human Security in the 21st Century"	"9781137032263"	"9781137032270"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137032270&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137032270.jpg"	
"Bodies and things in nineteenth-century literature and culture"	"9780230369382"	"9781137283658"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137283658&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137283658.jpg"	
"Robert Cormier"	"9780230313323"	"9781137284884"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137284884&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137284884.jpg"	
"C.S. Lewis"	"9780230301252"	"9781137284976"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137284976&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137284976.jpg"	
