publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"The Ned Yorke Collection: Five Volumes in One"	""	"9780755120710"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780755120710&uid=none"						"House of Stratus"											"http://www.askewsandholts.com/EBookImages/9780755120710.jpg"	
"Fabricating authenticity in Soviet Hungary: the afterlife of the first Hungarian Soviet Republic in the age of state socialism"	"9780857281104"	"9780857281142"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857281142&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857281142.jpg"	
"Project measurement"	"9781567261400"	"9781567262209"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262209&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262209.jpg"	
"Streamlining Business Requirements: The Xcellr8 Approach: The Xcellr8 Approach"	"9781567262407"	"9781567262780"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262780&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262780.jpg"	
"Strategic public management: best practices from government and nonprofit organizations"	"9781567262766"	"9781567262834"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262834&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262834.jpg"	
"Delivering project excellence with the statement of work"	"9781567262575"	"9781567262865"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262865&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262865.jpg"	
"Achieving Project Management Success in the Federal Government"	"9781567262759"	"9781567262872"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262872&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262872.jpg"	
"Managing Complex Projects: A New Model: A New Model"	"9781567262339"	"9781567262919"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262919&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262919.jpg"	
"The 77 deadly sins of project management."	"9781567262469"	"9781567262933"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262933&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262933.jpg"	
"Organizational Project Management: Linking Strategy and Projects: Linking Strategy and Projects"	"9781567262827"	"9781567262988"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262988&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262988.jpg"	
"Past performance handbook: applying commercial practices to federal procurement"	"9781567262803"	"9781567262995"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567262995&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567262995.jpg"	
"Neal Whitten's No Nonsense Advice for Successful Projects"	"9781567261554"	"9781567263022"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781567263022&uid=none"						"Management Concepts Press"											"http://www.askewsandholts.com/EBookImages/9781567263022.jpg"	
"Marine biomedicine: from beach to bedside"	"9781466582125"	"9781466582132"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781466582132&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781466582132.jpg"	
"Architecture, culture, and spirituality"	"9781472441713"	"9781472441720"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781472441720&uid=none"						"Ashgate"											"http://www.askewsandholts.com/EBookImages/9781472441720.jpg"	
"Compact heat exchangers for energy transfer intensification: low grade heat and fouling mitigation"	""	"9781482232608"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781482232608&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781482232608.jpg"	
"Xquery: Search Across a Variety of Xml Data"	"9781491915103"	"9781491915127"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781491915127&uid=none"						"O'Reilly"											"http://www.askewsandholts.com/EBookImages/9781491915127.jpg"	
"Using Docker: Developing and Deploying Software With Containers"	"9781491915769"	"9781491915929"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781491915929&uid=none"						"O'Reilly"											"http://www.askewsandholts.com/EBookImages/9781491915929.jpg"	
"The Khrushchev era, 1953-1964"	"9780582277762"	"9781317889229"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781317889229&uid=none"						"Pearson Addison Wesley"											"http://www.askewsandholts.com/EBookImages/9781317889229.jpg"	
"Occupational Health & Safety Law Cases & Materials 2/e"	"9781859415603"	"9781135342395"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781135342395&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781135342395.jpg"	
"Understanding land law."	"9781859415382"	"9781135343163"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781135343163&uid=none"						"Cavendish"											"http://www.askewsandholts.com/EBookImages/9781135343163.jpg"	
"Parliamentary Supremacy & Judicial Supremacy"	"9781859415238"	"9781135343866"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781135343866&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781135343866.jpg"	
"The Starr Report Disrobed."	"9780231119337"	"9780231502627"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780231502627&uid=none"						"Columbia University Press"											"http://www.askewsandholts.com/EBookImages/9780231502627.jpg"	
"Hunting the Essex"	"9781848321748"	"9781473830745"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781473830745&uid=none"						"Seaforth"											"http://www.askewsandholts.com/EBookImages/9781473830745.jpg"	
"Welcome to Marwencol"	"9781616894153"	"9781616894795"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781616894795&uid=none"						"Princeton Architectural Press"											"http://www.askewsandholts.com/EBookImages/9781616894795.jpg"	
"Four Secrets"	""	"9781467700115"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781467700115&uid=none"						"Lerner Publications"											"http://www.askewsandholts.com/EBookImages/9781467700115.jpg"	
"Snakebite"	""	"9781467700139"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781467700139&uid=none"						"Lerner Publications"											"http://www.askewsandholts.com/EBookImages/9781467700139.jpg"	
"Global writing for public relations: connecting in English with stakeholders and publics worldwide"	"9780415748834"	"9781317683872"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781317683872&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781317683872.jpg"	
"Diagnostic Electron Microscopy of Tumours"	"9780407002999"	"9781483163055"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781483163055&uid=none"						"Butterworth-Heinemann"											"http://www.askewsandholts.com/EBookImages/9781483163055.jpg"	
"Designing Print Materials for Flexible Teaching & Learning In Law"	"9781876213336"	"9781135316495"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781135316495&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781135316495.jpg"	
"Developing A Cross Cultural Curriculum"	"9781876213312"	"9781135316631"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781135316631&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781135316631.jpg"	
"International trade and business: law, policy and ethics"	"9781876213251"	"9781135316778"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781135316778&uid=none"						"Cavendish"											"http://www.askewsandholts.com/EBookImages/9781135316778.jpg"	
