publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Maverick Heart: Between love and life"	"9789382473008"	"9789382473008"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382473008&uid=none"						"Leadstart Publishing"											"http://www.askewsandholts.com/EBookImages/9789382473008.jpg"	
"Night, Day & Night Again"	"9789382473589"	"9789382473589"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382473589&uid=none"						"Leadstart Publishing"											"http://www.askewsandholts.com/EBookImages/9789382473589.jpg"	
"Love @ 365 Kmph"	""	"9789382473626"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382473626&uid=none"						"Leadstart Publishing"											"http://www.askewsandholts.com/EBookImages/9789382473626.jpg"	
"Newton's Law Reversed: Conflict - Some evade, some efface, while most embrace"	"9789382473992"	"9789382473992"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382473992&uid=none"						"Leadstart Publishing"											"http://www.askewsandholts.com/EBookImages/9789382473992.jpg"	
"Human Rights And Justice : International Documents"	"9789380177328"	"9789382573005"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573005&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573005.jpg"	
"100 Beauty Techniques"	"9789380177984"	"9789382573012"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573012&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573012.jpg"	
"Vastu For Home And Office"	"9789381411179"	"9789382573036"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573036&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573036.jpg"	
"Painless Pregnancy"	"9789380177823"	"9789382573104"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573104&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573104.jpg"	
"Party Games"	"9789380177496"	"9789382573111"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573111&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573111.jpg"	
"Painless Pregnancy: Pregnancy Guide"	"9789380177823"	"9789382573135"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573135&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573135.jpg"	
"100 Beauty Techniques: Beauty Techniques"	"9789380177984"	"9789382573142"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573142&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573142.jpg"	
"Security And Defence Related Treaties Of India"	"9789380177175"	"9789382573166"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573166&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573166.jpg"	
"Power Of Money"	"9789381411186"	"9789382573173"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573173&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573173.jpg"	
"India China Relations: Future Perspectives"	"9789381411155"	"9789382573180"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573180&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573180.jpg"	
"India Bangladesh Relations : The Way Ahead"	"9789380177212"	"9789382573203"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573203&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573203.jpg"	
"Pak Af Equation And Future Of Afghanistan"	"9789380177397"	"9789382573241"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573241&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573241.jpg"	
"Leadership Qualities Effective Leaders"	"9789381411261"	"9789382573258"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573258&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573258.jpg"	
"Laymans Guide Stock Market Amp Invest"	"9789381411254"	"9789382573265"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573265&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573265.jpg"	
"History S Greatest Battles"	"9789381411490"	"9789382573272"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573272&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573272.jpg"	
"Handbook Of Military Strategy And Tactics"	"9789381411483"	"9789382573289"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573289&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573289.jpg"	
"Perspectives On Transforming India- Central Asia Engagement : Prospects And Issues"	"9789380177793"	"9789382573296"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573296&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573296.jpg"	
"China's maritime ambitions and the PLA navy"	"9789382573210"	"9789382573302"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573302&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573302.jpg"	
"Conflict In Jammu And Kashmir Impact On Polity Society And Economy"	"9789381411216"	"9789382573333"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789382573333&uid=none"						"Vij Books"											"http://www.askewsandholts.com/EBookImages/9789382573333.jpg"	
