publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"The governance structures of Chinese firms: innovation, competitiveness, and growth in a dual economy"	"9781441900357"	"9781441900364"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781441900364&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781441900364.jpg"	
"Vertikalisierung im Fokus des Bekleidungseinzelhandels: Wettbewerbsvorteile durch Handelsmarken"	""	"9783842831520"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783842831520&uid=none"						"Diplomica Verlag"											"http://www.askewsandholts.com/EBookImages/9783842831520.jpg"	
"&quot;Minotaurus im Spiegel&quot;: Die Facetten des Spiegellabyrinth-Motivs in Durrenmattes &quot;Minotaurus&quot;"	""	"9783842832114"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783842832114&uid=none"						"Diplomica Verlag"											"http://www.askewsandholts.com/EBookImages/9783842832114.jpg"	
"Das Marchen der Sozialen Arbeit: Die Bedeutung von Marchen fur das Selbstverstandnis und die Praxis"	""	"9783842835788"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783842835788&uid=none"						"Diplomica Verlag"											"http://www.askewsandholts.com/EBookImages/9783842835788.jpg"	
"Handbook of test development"	"9780415626019"	"9781136242571"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781136242571&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781136242571.jpg"	
"Measurement of soft tissue elasticity in vivo: techniques and applications"	"9781466576285"	"9781466576292"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781466576292&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781466576292.jpg"	
"Data warehousing for biomedical informatics"	"9781482215212"	"9781482215229"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781482215229&uid=none"						"Auerbach Publications"											"http://www.askewsandholts.com/EBookImages/9781482215229.jpg"	
"Social movements and the Indian diaspora"	"9781138900639"	"9781317478973"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781317478973&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781317478973.jpg"	
"Video cataloguing: structure parsing and content extraction"	"9781482235777"	"9781482235784"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781482235784&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781482235784.jpg"	
"Design of CMOS millimeter-wave and terahertz integrated circuits with metamaterials"	"9781482238150"	"9781482238167"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781482238167&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781482238167.jpg"	
